# 4aecb678-807d-4621-b23c-c4c136113f5e
# 6e606bd4c2c9338f6d3dcddbf5b310adfc803c43
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; wr_m; wl_m
15.378; 5.003; 2.147; 1.260; 0.366; 1.434; -0.283; 0.797; 0.744
15.427; 5.018; 2.195; 1.278; 0.374; 1.424; -0.278; 0.784; 0.762
15.477; 5.032; 2.243; 1.297; 0.381; 1.414; -0.273; 0.772; 0.780
15.527; 5.045; 2.291; 1.316; 0.389; 1.404; -0.269; 0.760; 0.798
15.577; 5.057; 2.339; 1.336; 0.396; 1.395; -0.265; 0.750; 0.815
15.627; 5.068; 2.388; 1.356; 0.403; 1.385; -0.261; 0.740; 0.831
15.677; 5.078; 2.437; 1.376; 0.410; 1.376; -0.259; 0.731; 0.847
15.727; 5.087; 2.486; 1.397; 0.417; 1.366; -0.257; 0.724; 0.862
15.777; 5.095; 2.535; 1.418; 0.424; 1.357; -0.256; 0.717; 0.875
15.827; 5.102; 2.585; 1.439; 0.430; 1.347; -0.256; 0.711; 0.886
15.877; 5.109; 2.635; 1.461; 0.433; 1.338; -0.260; 0.707; 0.893
15.927; 5.113; 2.684; 1.482; 0.434; 1.328; -0.270; 0.703; 0.894
15.977; 5.117; 2.734; 1.504; 0.435; 1.318; -0.279; 0.701; 0.892
16.027; 5.120; 2.783; 1.526; 0.436; 1.307; -0.288; 0.700; 0.887
16.077; 5.122; 2.833; 1.548; 0.438; 1.296; -0.297; 0.699; 0.881
16.126; 5.122; 2.883; 1.569; 0.441; 1.285; -0.305; 0.700; 0.873
16.176; 5.122; 2.933; 1.592; 0.444; 1.273; -0.313; 0.702; 0.865
16.226; 5.120; 2.983; 1.614; 0.448; 1.261; -0.320; 0.704; 0.855
16.276; 5.118; 3.033; 1.636; 0.452; 1.248; -0.328; 0.708; 0.844
16.326; 5.114; 3.083; 1.659; 0.456; 1.235; -0.335; 0.713; 0.831
16.376; 5.109; 3.133; 1.682; 0.461; 1.221; -0.340; 0.718; 0.815
16.426; 5.103; 3.183; 1.706; 0.473; 1.207; -0.317; 0.725; 0.798
16.476; 5.095; 3.232; 1.730; 0.499; 1.194; -0.294; 0.733; 0.778
16.526; 5.087; 3.282; 1.756; 0.526; 1.182; -0.268; 0.741; 0.756
16.576; 5.077; 3.331; 1.783; 0.554; 1.170; -0.241; 0.750; 0.733
16.626; 5.066; 3.380; 1.811; 0.584; 1.160; -0.212; 0.761; 0.709
16.676; 5.053; 3.428; 1.841; 0.615; 1.151; -0.182; 0.772; 0.685
16.726; 5.039; 3.476; 1.873; 0.647; 1.143; -0.149; 0.785; 0.660
16.776; 5.023; 3.523; 1.906; 0.679; 1.136; -0.115; 0.800; 0.636
16.825; 5.006; 3.570; 1.940; 0.712; 1.131; -0.079; 0.815; 0.610
16.875; 4.987; 3.616; 1.976; 0.744; 1.128; -0.042; 0.832; 0.586
16.925; 4.967; 3.661; 2.014; 0.776; 1.126; -0.025; 0.851; 0.559
16.975; 4.945; 3.706; 2.053; 0.791; 1.125; -0.025; 0.871; 0.534
17.025; 4.921; 3.749; 2.092; 0.756; 1.124; 0.021; 0.893; 0.509
17.075; 4.895; 3.792; 2.128; 0.721; 1.124; 0.063; 0.915; 0.484
17.125; 4.868; 3.834; 2.163; 0.686; 1.127; 0.102; 0.940; 0.461
17.175; 4.840; 3.874; 2.197; 0.653; 1.132; 0.138; 0.966; 0.436
17.225; 4.810; 3.914; 2.228; 0.621; 1.138; 0.101; 0.993; 0.414
17.275; 4.779; 3.953; 2.259; 0.590; 1.142; -0.253; 1.022; 0.392
17.325; 4.746; 3.992; 2.288; 0.561; 1.131; -0.305; 1.051; 0.372
17.375; 4.713; 4.029; 2.315; 0.533; 1.118; -0.356; 1.082; 0.355
17.425; 4.678; 4.066; 2.341; 0.507; 1.102; -0.406; 1.114; 0.338
17.474; 4.643; 4.101; 2.366; 0.483; 1.083; -0.455; 1.146; 0.325
17.524; 4.607; 4.136; 2.390; 0.466; 1.062; -0.457; 1.179; 0.312
17.574; 4.569; 4.170; 2.415; 0.522; 1.040; -0.418; 1.213; 0.305
17.624; 4.531; 4.203; 2.443; 0.580; 1.020; -0.377; 1.248; 0.295
17.674; 4.492; 4.235; 2.473; 0.642; 1.001; -0.335; 1.283; 0.291
17.724; 4.452; 4.266; 2.507; 0.706; 0.984; -0.292; 1.319; 0.285
17.774; 4.411; 4.294; 2.544; 0.773; 0.969; -0.247; 1.355; 0.282
17.824; 4.369; 4.322; 2.584; 0.843; 0.957; -0.201; 1.391; 0.279
17.874; 4.327; 4.347; 2.628; 0.913; 0.946; -0.153; 1.427; 0.276
17.924; 4.283; 4.370; 2.675; 0.983; 0.938; -0.105; 1.457; 0.275
17.974; 4.239; 4.391; 2.725; 1.050; 0.932; -0.057; 1.474; 0.270
18.024; 4.193; 4.410; 2.778; 1.111; 0.929; -0.017; 1.489; 0.268
18.074; 4.146; 4.426; 2.835; 1.160; 0.928; -0.017; 1.503; 0.264
18.124; 4.099; 4.440; 2.891; 1.125; 0.927; 0.015; 1.517; 0.258
18.173; 4.050; 4.451; 2.946; 1.095; 0.928; 0.039; 1.532; 0.256
18.223; 4.001; 4.459; 3.000; 1.071; 0.930; 0.055; 1.534; 0.248
18.273; 3.952; 4.465; 3.053; 1.053; 0.933; 0.065; 1.485; 0.243
18.323; 3.902; 4.468; 3.105; 1.041; 0.937; 0.069; 1.437; 0.239
18.373; 3.852; 4.469; -3.126; 1.035; 0.940; 0.067; 1.389; 0.234
18.423; 3.802; 4.467; -3.074; 1.035; 0.944; 0.060; 1.343; 0.232
18.473; 3.752; 4.462; -3.022; 1.041; 0.947; 0.048; 1.296; 0.230
18.523; 3.702; 4.455; -2.969; 1.053; 0.950; 0.032; 1.251; 0.230
18.573; 3.653; 4.445; -2.916; 1.071; 0.951; 0.013; 1.208; 0.235
18.623; 3.605; 4.432; -2.862; 1.094; 0.952; -0.010; 1.165; 0.240
